,MSSubClass,MSZoning,LotFrontage,LotArea,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,Exterior1st,Exterior2nd,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtUnfSF,TotalBsmtSF,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,SaleType,SaleCondition,SalePrice
0,60,RL,65.0,8450,Reg,Lvl,Inside,Gtl,CollgCr,1Fam,2Story,7,5,2003,2003,Gable,VinylSd,VinylSd,196.0,Gd,TA,PConc,Gd,No,GLQ,706,Unf,150,856,Ex,Y,SBrkr,856,854,1710,1,2,1,3,1,Gd,8,0,Attchd,2003.0,RFn,2,548,Y,0,61,0,WD,Normal,208500
1,20,RL,80.0,9600,Reg,Lvl,FR2,Gtl,Veenker,1Fam,1Story,6,8,1976,1976,Gable,MetalSd,MetalSd,0.0,TA,TA,CBlock,Gd,Gd,ALQ,978,Unf,284,1262,Ex,Y,SBrkr,1262,0,1262,0,2,0,3,1,TA,6,1,Attchd,1976.0,RFn,2,460,Y,298,0,0,WD,Normal,181500
2,60,RL,68.0,11250,IR1,Lvl,Inside,Gtl,CollgCr,1Fam,2Story,7,5,2001,2002,Gable,VinylSd,VinylSd,162.0,Gd,TA,PConc,Gd,Mn,GLQ,486,Unf,434,920,Ex,Y,SBrkr,920,866,1786,1,2,1,3,1,Gd,6,1,Attchd,2001.0,RFn,2,608,Y,0,42,0,WD,Normal,223500
3,70,RL,60.0,9550,IR1,Lvl,Corner,Gtl,Crawfor,1Fam,2Story,7,5,1915,1970,Gable,Wd Sdng,Wd Shng,0.0,TA,TA,BrkTil,TA,No,ALQ,216,Unf,540,756,Gd,Y,SBrkr,961,756,1717,1,1,0,3,1,Gd,7,1,Detchd,1998.0,Unf,3,642,Y,0,35,272,WD,Abnorml,140000
4,60,RL,84.0,14260,IR1,Lvl,FR2,Gtl,NoRidge,1Fam,2Story,8,5,2000,2000,Gable,VinylSd,VinylSd,350.0,Gd,TA,PConc,Gd,Av,GLQ,655,Unf,490,1145,Ex,Y,SBrkr,1145,1053,2198,1,2,1,4,1,Gd,9,1,Attchd,2000.0,RFn,3,836,Y,192,84,0,WD,Normal,250000
5,50,RL,85.0,14115,IR1,Lvl,Inside,Gtl,Mitchel,1Fam,1.5Fin,5,5,1993,1995,Gable,VinylSd,VinylSd,0.0,TA,TA,Wood,Gd,No,GLQ,732,Unf,64,796,Ex,Y,SBrkr,796,566,1362,1,1,1,1,1,TA,5,0,Attchd,1993.0,Unf,2,480,Y,40,30,0,WD,Normal,143000
6,20,RL,75.0,10084,Reg,Lvl,Inside,Gtl,Somerst,1Fam,1Story,8,5,2004,2005,Gable,VinylSd,VinylSd,186.0,Gd,TA,PConc,Ex,Av,GLQ,1369,Unf,317,1686,Ex,Y,SBrkr,1694,0,1694,1,2,0,3,1,Gd,7,1,Attchd,2004.0,RFn,2,636,Y,255,57,0,WD,Normal,307000
7,60,RL,69.0,10382,IR1,Lvl,Corner,Gtl,NWAmes,1Fam,2Story,7,6,1973,1973,Gable,HdBoard,HdBoard,240.0,TA,TA,CBlock,Gd,Mn,ALQ,859,Other,216,1107,Ex,Y,SBrkr,1107,983,2090,1,2,1,3,1,TA,7,2,Attchd,1973.0,RFn,2,484,Y,235,204,228,WD,Normal,200000
8,50,RM,51.0,6120,Reg,Lvl,Inside,Gtl,OldTown,1Fam,1.5Fin,7,5,1931,1950,Gable,BrkFace,Wd Shng,0.0,TA,TA,BrkTil,TA,No,Unf,0,Unf,952,952,Gd,Y,Other,1022,752,1774,0,2,0,2,2,TA,8,2,Detchd,1931.0,Unf,2,468,Y,90,0,205,WD,Abnorml,129900
9,190,RL,50.0,7420,Reg,Lvl,Corner,Gtl,BrkSide,2fmCon,1.5Unf,5,6,1939,1950,Gable,MetalSd,MetalSd,0.0,TA,TA,BrkTil,TA,No,GLQ,851,Unf,140,991,Ex,Y,SBrkr,1077,0,1077,1,1,0,2,2,TA,5,2,Attchd,1939.0,RFn,1,205,Y,0,4,0,WD,Normal,118000
10,20,RL,70.0,11200,Reg,Lvl,Inside,Gtl,Sawyer,1Fam,1Story,5,5,1965,1965,Hip,HdBoard,HdBoard,0.0,TA,TA,CBlock,TA,No,Rec,906,Unf,134,1040,Ex,Y,SBrkr,1040,0,1040,1,1,0,3,1,TA,5,0,Detchd,1965.0,Unf,1,384,Y,0,0,0,WD,Normal,129500
11,60,RL,85.0,11924,IR1,Lvl,Inside,Gtl,NridgHt,1Fam,2Story,9,5,2005,2006,Hip,WdShing,Wd Shng,286.0,Ex,TA,PConc,Ex,No,GLQ,998,Unf,177,1175,Ex,Y,SBrkr,1182,1142,2324,1,3,0,4,1,Ex,11,2,BuiltIn,2005.0,Fin,3,736,Y,147,21,0,New,Partial,345000
12,20,RL,69.0,12968,IR2,Lvl,Inside,Gtl,Sawyer,1Fam,1Story,5,6,1962,1962,Hip,HdBoard,Plywood,0.0,TA,TA,CBlock,TA,No,ALQ,737,Unf,175,912,TA,Y,SBrkr,912,0,912,1,1,0,2,1,TA,4,0,Detchd,1962.0,Unf,1,352,Y,140,0,0,WD,Normal,144000
13,20,RL,91.0,10652,IR1,Lvl,Inside,Gtl,CollgCr,1Fam,1Story,7,5,2006,2007,Gable,VinylSd,VinylSd,306.0,Gd,TA,PConc,Gd,Av,Unf,0,Unf,1494,1494,Ex,Y,SBrkr,1494,0,1494,0,2,0,3,1,Gd,7,1,Attchd,2006.0,RFn,3,840,Y,160,33,0,New,Partial,279500
14,20,RL,69.0,10920,IR1,Lvl,Corner,Gtl,NAmes,1Fam,1Story,6,5,1960,1960,Hip,MetalSd,MetalSd,212.0,TA,TA,CBlock,TA,No,BLQ,733,Unf,520,1253,TA,Y,SBrkr,1253,0,1253,1,1,1,2,1,TA,5,1,Attchd,1960.0,RFn,1,352,Y,0,213,176,WD,Normal,157000
15,45,RM,51.0,6120,Reg,Lvl,Corner,Gtl,BrkSide,1Fam,1.5Unf,7,8,1929,2001,Gable,Wd Sdng,Wd Sdng,0.0,TA,TA,BrkTil,TA,No,Unf,0,Unf,832,832,Ex,Y,FuseA,854,0,854,0,1,0,2,1,TA,5,0,Detchd,1991.0,Unf,2,576,Y,48,112,0,WD,Normal,132000
16,20,RL,69.0,11241,IR1,Lvl,CulDSac,Gtl,NAmes,1Fam,1Story,6,7,1970,1970,Gable,Wd Sdng,Wd Sdng,180.0,TA,TA,CBlock,TA,No,ALQ,578,Unf,426,1004,Ex,Y,SBrkr,1004,0,1004,1,1,0,2,1,TA,5,1,Attchd,1970.0,Fin,2,480,Y,0,0,0,WD,Normal,149000
17,90,RL,72.0,10791,Reg,Lvl,Inside,Gtl,Sawyer,Duplex,1Story,4,5,1967,1967,Gable,MetalSd,MetalSd,0.0,TA,TA,Slab,TA,No,Unf,0,Unf,0,0,TA,Y,SBrkr,1296,0,1296,0,2,0,2,2,TA,6,0,CarPort,1967.0,Unf,2,516,Y,0,0,0,WD,Normal,90000
18,20,RL,66.0,13695,Reg,Lvl,Inside,Gtl,SawyerW,1Fam,1Story,5,5,2004,2004,Gable,VinylSd,VinylSd,0.0,TA,TA,PConc,TA,No,GLQ,646,Unf,468,1114,Ex,Y,SBrkr,1114,0,1114,1,1,1,3,1,Gd,6,0,Detchd,2004.0,Unf,2,576,Y,0,102,0,WD,Normal,159000
19,20,RL,70.0,7560,Reg,Lvl,Inside,Gtl,NAmes,1Fam,1Story,5,6,1958,1965,Hip,BrkFace,Plywood,0.0,TA,TA,CBlock,TA,No,LwQ,504,Unf,525,1029,TA,Y,SBrkr,1339,0,1339,0,1,0,3,1,TA,6,0,Attchd,1958.0,Unf,1,294,Y,0,0,0,Other,Abnorml,139000
20,60,RL,101.0,14215,IR1,Lvl,Corner,Gtl,NridgHt,1Fam,2Story,8,5,2005,2006,Gable,VinylSd,VinylSd,380.0,Gd,TA,PConc,Ex,Av,Unf,0,Unf,1158,1158,Ex,Y,SBrkr,1158,1218,2376,0,3,1,4,1,Gd,9,1,BuiltIn,2005.0,RFn,3,853,Y,240,154,0,New,Partial,325300
21,45,RM,57.0,7449,Reg,Bnk,Inside,Gtl,IDOTRR,1Fam,1.5Unf,7,7,1930,1950,Gable,Wd Sdng,Wd Sdng,0.0,TA,TA,PConc,TA,No,Unf,0,Unf,637,637,Ex,Y,Other,1108,0,1108,0,1,0,3,1,Gd,6,1,Attchd,1930.0,Unf,1,280,N,0,0,205,WD,Normal,139400
